gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit DM support top3,Bandit,430.5270459735502,413.5410294620784,472.2493846542733,0.289328775365351,0.0,0.8696739745999615,11.215,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit IPS,Bandit,221.0611247716475,413.5410294620784,472.2493846542733,-3.2785777094300275,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit IPS support top3,Bandit,434.8510757598015,413.5410294620784,472.2493846542733,0.3629814909302074,0.0,0.8692893592153461,11.76,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit DR,Bandit,307.3793326256101,413.5410294620784,472.2493846542733,-1.8082894076818237,0.99625,0.001577287066246,0.00375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit DR support top3,Bandit,427.9374683820606,413.5410294620784,472.2493846542733,0.2452195922173647,0.0,0.8739964153171391,11.7275,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,6,"Bandit oracle (myopic, true R)",Bandit,413.5410294620784,413.5410294620784,472.2493846542733,0.0,0.2,0.811082995951417,11.98125,none,,
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit DM,Bandit,405.2646195858576,422.9552853756405,480.1843549282328,-0.3091202762527112,0.925,0.0608606557377049,0.4775,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit DM support top3,Bandit,432.4012079825747,422.9552853756405,480.1843549282328,0.1650546248747514,0.0,0.8933880626114084,11.78875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit IPS,Bandit,231.08611517523437,422.9552853756405,480.1843549282328,-3.352652274454378,0.98,0.0294117647058823,0.0875,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit IPS support top3,Bandit,431.2395208648945,422.9552853756405,480.1843549282328,0.1447557256132038,0.0,0.8738476413292591,11.33125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit DR,Bandit,408.0373724261592,422.9552853756405,480.1843549282328,-0.260670199010873,0.96375,0.0267857142857142,0.13375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,Bandit DR support top3,Bandit,431.2395208648945,422.9552853756405,480.1843549282328,0.1447557256132038,0.0,0.8738476413292591,11.33125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,7,"Bandit oracle (myopic, true R)",Bandit,422.9552853756405,422.9552853756405,480.1843549282328,0.0,0.04875,0.840601686248662,12.03875,none,,
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit DM,Bandit,306.42556234847666,414.15142866616,472.41867197590335,-1.8488238021665515,0.9875,0.0063897763578274,0.025,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit DM support top3,Bandit,423.3585970157045,414.15142866616,472.41867197590335,0.1580161996097876,0.0,0.9035513755683432,15.9725,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit IPS,Bandit,305.3341344130179,414.15142866616,472.41867197590335,-1.867555217511822,0.9875,0.0094936708860759,0.04,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit IPS support top3,Bandit,426.27048638193696,414.15142866616,472.41867197590335,0.2079909229848609,0.0,0.8891528042920066,13.31,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit DR,Bandit,306.42556234847666,414.15142866616,472.41867197590335,-1.8488238021665515,0.9875,0.0063897763578274,0.025,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,Bandit DR support top3,Bandit,423.3585970157045,414.15142866616,472.41867197590335,0.1580161996097876,0.0,0.9035513755683432,15.9725,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,8,"Bandit oracle (myopic, true R)",Bandit,414.15142866616,414.15142866616,472.41867197590335,0.0,0.19875,0.859053613096385,12.47,none,,
gate2D_bandit,N100_noise0p2,100,0.2,9,Bandit DM,Bandit,317.0907775080625,420.6824583962237,477.90153050673655,-1.8104397199605784,0.99375,0.0030864197530864,0.0125,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,9,Bandit DM support top3,Bandit,436.1078782704046,420.6824583962237,477.90153050673655,0.2695852852067984,0.0,0.8675642586580088,10.07875,top3,2000.0,10.0
