expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_dt_vanilla,nv_dt_vanilla_masked,nv_dt_structured,nv_dt_structured_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.5,400,0,0.6428571428571429,-0.07973031115527336,0.21721018265721287,-0.0471350294662931,-1.9237711485790054,-0.09565606985645816,-0.09156305963844594,-0.18961286034535033,-0.09893732511412348,0.014374013079731168,-0.10780354007579487,-3.674437519659503,-0.07271057658938071,0.89379808565888,0.20995692545480463
0.5,400,1,0.6369047619047619,-0.08486680959723636,0.19572582314492357,-0.04804598385876066,-1.9390742141668347,-0.11732349212790351,-0.11732349212790351,-0.11083944272332269,-0.07333681718746125,0.033767232534867526,-0.04814912220015464,-3.565124040155647,-0.030720258311706668,0.8403400261146499,0.18631548114446989
0.5,400,2,0.6369047619047619,-0.09435875946314519,0.17457929419659837,-0.05400324340716347,-1.9618142055201373,-0.08199546791181031,-0.07732909051343609,-0.1237564966609899,-0.0757246626368156,-0.12336575255338743,-0.11857882731636826,-3.6869013045981687,-0.1478205409061839,0.9498021874592643,0.16734603158963202
0.5,1600,0,0.6369047619047619,-0.08764948794390925,0.20356351757860822,-0.06688958328635143,-1.9147862034432637,0.056120940763132454,0.056120940763132454,0.020875518890021413,-0.04610134372211556,-0.09682820934950252,-0.03686082660609628,-2.215852410967066,0.04267675870143531,0.9523568693212834,0.2018612688297012
0.5,1600,1,0.6369047619047619,-0.08810823332238553,0.20353947008260218,-0.05827308105801414,-1.9298279246044678,-0.08006485621337125,-0.09006922599855548,-0.015323130066524082,-0.012707555939923574,-0.07305498296772438,-0.04454536008119174,-1.9774073040832356,0.11799061779341229,0.9968038301302837,0.19766340734871518
0.5,1600,2,0.6309523809523809,-0.09391080254417648,0.19005891745935974,-0.07164317048787103,-1.9804624534124358,-0.13979063240395664,-0.13979063240395664,0.051603096267620004,-0.018076122811428313,-0.1711001660561549,-0.0974637683550863,-2.993086446914007,0.07537319073063183,0.9833219433795171,0.18940291708799545
0.75,100,0,0.6845238095238095,0.13112413740397957,0.36384287780306046,0.11954836625511185,-1.9425714124041793,0.13735319901931656,0.07885192188965298,0.1507510621718981,0.200901814534968,0.10809661917813677,0.20720264031530278,-4.338297044518067,0.14267657305033926,0.5665960964848363,0.34226562162353386
0.75,100,1,0.6726190476190477,0.14193875040571333,0.3987106346007335,0.15088016797787554,-1.964863388892461,0.20622080438571436,0.11022952923657452,0.12457816258041163,0.22756282286918766,0.08769701138797657,0.24738708753776045,-4.348324475796981,0.11460518421930925,0.7453425634478963,0.37848167720720644
0.75,100,2,0.6726190476190477,0.14394894106406597,0.381005097225611,0.10574483759588953,-2.028422451676749,0.18894360534783758,0.1742048921749554,0.03764987342416383,0.2547650310026767,0.05570688580329765,0.19273600255379175,-4.412319016319215,0.155415244949879,0.7625338352405331,0.38100509722560894
0.75,400,0,0.6845238095238095,0.14857671084017926,0.4570906532804123,0.11545060464887145,-1.9413287135508974,0.23754993144732545,0.21936593059203546,0.16202115209653462,0.19580054868839916,0.14394710987032366,0.2438334351544201,-3.8356000771955254,0.17984006654371146,0.783191176011682,0.4570906532804123
0.75,400,1,0.6785714285714286,0.1340014884021532,0.43890311843184615,0.1026354810637975,-2.0100860301241386,0.18323278268666976,0.14319800822385267,0.20050243106213272,0.23068301301170732,0.13657726753430063,0.24317998653853828,-3.6499453265867516,0.17952687823026942,0.7681403354287423,0.4318998096959882
0.75,400,2,0.6726190476190477,0.1415866129596049,0.4014711386487369,0.10450943850385311,-1.9408157952291796,0.1966140369119283,0.13731046084764878,0.16133004276580903,0.19326087666554229,0.1535649508810799,0.24215242591283745,-4.282603101021063,0.1070477741169227,0.7605186120511078,0.400270926516115
0.75,1600,0,0.6845238095238095,0.142212153132095,0.44494054205266353,0.11973250276601792,-1.9453085039397577,0.08452817626964146,0.08452817626964146,0.23326947116579913,0.24142347863077573,0.1446836427480615,0.24653869097599507,-2.3228814756029124,0.1504163762738623,0.7441424977775496,0.4429204093087402
