seed,model,t,ref_bin,action,price,true_demand,estimated_demand,true_revenue,estimated_revenue,true_dynamic_q,estimated_dynamic_q
0,structured,0,10,1,0.65,92.41418199787566,193.71627807617188,60.06921829861918,125.91558074951172,446.13275663416664,1620.0352698266506
0,structured,0,10,2,0.8,85.19528019683106,109.56855010986328,68.15622415746485,87.65484008789063,455.25360231633437,1581.9881112039088
0,structured,0,10,3,0.95,73.1058578630005,61.973453521728516,69.45056496985046,58.874780845642086,464.263222814162,1554.5307339310646
0,structured,0,10,4,1.1,56.217650088579795,35.05302429199219,61.83941509743778,38.558326721191406,459.4871604056366,1534.725169414282
0,structured,0,10,5,1.25,37.75406687981454,19.826473236083984,47.19258359976817,24.78309154510498,456.11959599873177,1643.369097328186
0,structured,0,10,6,1.4,22.270013882530897,11.21412181854248,31.178019435543252,15.699770545959472,453.05156282287663,1635.9584476470945
0,structured,0,10,7,1.55,11.920292202211755,6.342858791351318,18.476452913428222,9.831431126594543,445.4282089964209,1631.5024758219718
0,structured,0,10,8,1.7,6.008665017400762,3.5876052379608154,10.214730529581296,6.098928904533386,453.8350396039092,1686.7703720271586
0,structured,0,10,9,1.85,2.9312230751356347,2.0291988849639893,5.4227626890009235,3.75401793718338,453.82269530800295,1685.2271440088748
0,structured,0,10,10,2.0,1.4063627043245475,1.1477423906326294,2.812725408649095,2.295484781265259,460.5452154102665,1787.9533415496348
0,structured,0,11,0,0.5,96.99680116107118,402.5859375,48.49840058053559,201.29296875,419.3522594666695,1653.6365022420882
0,structured,0,11,1,0.65,93.84858183053655,228.0022735595703,61.00157818984876,148.20147781372071,448.0989563487183,1642.534748929739
0,structured,0,11,2,0.8,87.8147149230382,129.1278076171875,70.25177193843057,103.30224609375,457.3491500973001,1597.6355172097683
0,structured,0,11,3,0.95,77.29422593967385,73.13080596923828,73.42951464269015,69.47426567077636,468.2421724870017,1565.1302187561987
0,structured,0,11,4,1.1,61.65665045213191,41.41721725463867,67.82231549734512,45.558938980102546,465.47006080554394,1541.725781673193
0,structured,0,11,5,1.25,43.16800165217519,23.45640754699707,53.96000206521899,29.320509433746338,475.83354545255236,1649.5791865348815
0,structured,0,11,6,1.4,26.405460607285157,13.284404754638672,36.967644850199214,18.59816665649414,458.8411882375326,1638.8568437576293
0,structured,0,11,7,1.55,14.49216314878228,7.523547649383545,22.462852880612534,11.661498856544496,449.41460896360525,1633.3325435519218
0,structured,0,11,8,1.7,7.412406519066317,4.260916709899902,12.601091082412738,7.243558406829834,456.22140015674063,1687.9150015294551
0,structured,0,11,9,1.85,3.643886542084021,2.413145065307617,6.741190102855438,4.464318370819091,455.14112272185747,1685.9374444425105
0,structured,0,11,10,2.0,1.754992244482437,1.3666718006134033,3.509984488964874,2.7333436012268066,475.991222521974,1806.9282556712626
0,structured,0,12,0,0.5,97.58729785823309,473.3223571777344,48.79364892911654,236.6611785888672,434.85718726466405,1730.780867666006
0,structured,0,12,1,0.65,95.02634884414431,268.4259338378906,61.767126748693805,174.47685699462892,448.8645049075633,1668.8101281106472
0,structured,0,12,2,0.8,90.02495108803149,152.22694396972656,72.0199608704252,121.78155517578125,466.8326187147368,1617.4375082612037
0,structured,0,12,3,0.95,80.99984339846871,86.32946014404297,76.94985122854527,82.01298713684082,474.59759653674405,1578.1798298299314
0,structured,0,12,4,1.1,66.8187772168166,48.95827102661133,73.50065493849827,53.854098129272465,482.42766733746186,1672.4401039123534
0,structured,0,12,5,1.25,48.75026035157896,27.76473617553711,60.9378254394737,34.70592021942139,482.8113688268071,1654.9645973205565
0,structured,0,12,6,1.4,31.00255188723876,15.745657920837402,43.40357264213426,22.04392108917236,470.3553287251269,1643.7149657845496
0,structured,0,12,7,1.55,17.508626816403975,8.929518699645996,27.138371565426162,13.840753984451295,470.75868063975406,1694.5121971070766
0,structured,0,12,8,1.7,9.112296101485615,5.064011573791504,15.490903372525546,8.608819675445556,463.8908359915276,1690.081945747137
0,structured,0,12,9,1.85,4.521747348328749,2.8718554973602295,8.365232594408186,5.312932670116425,466.0977225960256,1790.970789438486
0,structured,0,12,10,2.0,2.188127093613047,1.628656268119812,4.376254187226094,3.257312536239624,476.85749222023526,1807.4522246062754
0,structured,0,13,0,0.5,98.06400695257524,556.5878295898438,49.03200347628762,278.2939147949219,436.12938163515713,1772.6271859109402
0,structured,0,13,1,0.65,95.98825680419544,316.0902404785156,62.39236692272704,205.45865631103516,449.48974508159654,1699.7919274270535
0,structured,0,13,2,0.8,91.8713920386427,179.50990295410156,73.49711363091416,143.60792236328126,471.14485893911296,1639.7747650563717
0,structured,0,13,3,0.95,84.22413129810302,101.94500732421875,80.01292473319786,96.8477569580078,477.66067004139666,1593.0145996510983
0,structured,0,13,4,1.1,71.60597938157099,57.89529800415039,78.7665773197281,63.68482780456544,500.64012070706144,1683.9435049057006
0,structured,0,13,5,1.25,54.363868723707895,32.87916946411133,67.95483590463488,41.09896183013916,494.90659198762756,1662.7700065255165
0,structured,0,13,6,1.4,36.008390326226596,18.67231559753418,50.41174645671723,26.14124183654785,477.36350253970994,1647.812286531925
0,structured,0,13,7,1.55,20.998762657360253,10.604146957397461,32.54808211890839,16.436427783966064,480.9480147379104,1697.9095538556576
0,structured,0,13,8,1.7,11.155054018289649,6.022165298461914,18.9635918310924,10.237681007385254,467.3635244500944,1691.7108070790766
0,structured,0,13,9,1.85,5.59880790618217,3.4200308322906494,10.357794626437014,6.327057039737701,482.83903265944616,1810.5219691097734
0,structured,0,13,10,2.0,2.725195077021608,1.9422608613967896,5.450390154043216,3.884521722793579,485.08869092174024,1892.4398769080638
0,structured,0,14,0,0.5,98.44802434215912,654.6856079101562,49.22401217107956,327.3428039550781,436.32139032994905,1821.6760750710964
0,structured,0,14,1,0.65,96.77045353015495,372.3442687988281,62.90079479460072,242.02377471923828,457.71345263891226,1737.6797278046606
0,structured,0,14,2,0.8,93.40109905087812,211.7660369873047,74.7208792407025,169.41282958984377,472.3686245489013,1665.5796722829343
0,structured,0,14,3,0.95,86.98915256370022,120.43934631347656,82.6396949355152,114.41737899780273,491.5667073344788,1733.0033847808836
0,structured,0,14,4,1.1,75.9510916949111,68.49833679199219,83.54620086440221,75.34817047119141,505.41974425173555,1695.6068475723266
0,structured,0,14,5,1.25,59.868766011245214,38.95759201049805,74.83595751405652,48.69699001312256,501.7877135970492,1670.3680347084999
0,structured,0,14,6,1.4,41.33824210826701,22.15664291381836,57.87353895157381,31.0193000793457,501.49384802590174,1711.690743201971
0,structured,0,14,7,1.55,24.973989440488236,12.601313591003418,38.709683632756764,19.532036066055298,487.1096162517588,1701.0051621377468
0,structured,0,14,8,1.7,13.58728970090943,7.166836261749268,23.09839249154603,12.183621644973755,480.8308824931634,1797.8414784133433
0,structured,0,14,9,1.85,6.913842034334687,4.076048374176025,12.79060776351917,7.540689492225646,485.27184579652834,1811.7356015622615
0,structured,0,14,10,2.0,3.389516415917816,2.3182015419006348,6.779032831835632,4.6364030838012695,486.4173335995327,1893.1917582690714
0,structured,0,15,0,0.5,98.7568349146814,771.8383178710938,49.3784174573407,385.9191589355469,436.47579561621023,1880.2524300515652
0,structured,0,15,1,0.65,97.4042642802203,439.640380859375,63.3127717821432,285.76624755859376,458.1254296264548,1781.4222006440161
0,structured,0,15,2,0.8,94.65966702001757,250.4198760986328,75.72773361601405,200.33590087890627,473.37547892421287,1696.5027435719967
0,structured,0,15,3,0.95,89.33094060543489,142.63963317871094,84.86439357516313,135.50765151977538,506.7379369624965,1755.7663286209106
0,structured,0,15,4,1.1,79.8186777739621,81.24773406982422,87.80054555135831,89.37250747680665,514.7523016343509,1711.043552172184
0,structured,0,15,5,1.25,65.13548646660541,46.27886199951172,81.41935808325677,57.84857749938965,508.37111416624947,1679.519622194767
0,structured,0,15,6,1.4,46.87906266262438,26.360515594482422,65.63068772767413,36.904721832275385,509.250996802002,1717.5761649549006
0,structured,0,15,7,1.55,29.42149721629887,15.015000343322754,45.60332068526325,23.273250532150268,494.0032533042653,1704.7463766038418
0,structured,0,15,8,1.7,16.45164628965632,8.55256462097168,27.967798692415744,14.539359855651854,500.4490367254249,1818.7342719256876
0,structured,0,15,9,1.85,8.50990450070203,4.871561527252197,15.743323326298754,9.012388825416565,488.2245613593079,1813.2073008954524
0,structured,0,15,10,2.0,4.208772791561883,2.7748467922210693,8.417545583123767,5.549693584442139,499.94329323376553,1994.4098683416844
0,structured,0,16,0,0.5,99.00481981330958,910.83740234375,49.50240990665479,455.418701171875,444.31506775096636,1951.0746542572974
0,structured,0,16,1,0.65,97.91636554813195,519.7879028320312,63.64563760628577,337.8621368408203,461.2933829144846,1834.0289795339108
0,structured,0,16,2,0.8,95.68927450589139,296.62738037109375,76.55141960471312,237.30190429687502,485.47843200367674,1855.8879100799559
0,structured,0,16,3,0.95,91.29342275597287,169.2764434814453,86.72875161817423,160.81262130737304,508.6022950055076,1781.0712984085083
0,structured,0,16,4,1.1,83.20183851339245,96.60099792480469,91.5220223647317,106.26109771728517,518.4737784477244,1727.9321424126624
0,structured,0,16,5,1.25,70.0567142473973,55.127323150634766,87.57089280924662,68.90915393829346,531.1912018835745,1749.5805970609188
0,structured,0,16,6,1.4,52.497918747894005,31.45951271057129,73.4970862470516,44.043317794799805,521.8970188660536,1725.5164438664913
0,structured,0,16,7,1.55,34.29895373265012,17.95301055908203,53.163378285607685,27.82716636657715,510.8958682872251,1813.4850231349467
0,structured,0,16,8,1.7,19.781611144141824,10.245244979858398,33.6287389450411,17.416916465759275,506.10997697805027,1821.611828535795
0,structured,0,16,9,1.85,10.433122311900135,5.846648693084717,19.301276277015248,10.816300082206725,498.9395770447123,1899.3716552674769
0,structured,0,16,10,2.0,5.2153563078417715,3.336512327194214,10.430712615683543,6.673024654388428,501.95646026632534,1995.5331994116307
0,structured,0,17,0,0.5,99.20373586989582,1075.1732177734375,49.60186793494791,537.5866088867188,444.41452577925946,2033.2425619721412
