seed,model,t,ref_bin,ref_price,true_action,chosen_action,true_price,chosen_price,price_index_error,wrong_action,action_regret,policy_regret,inmodel_optimism,demand_log_rmse,demand_log_error_at_chosen,state_visit_count,selected_support_count,selected_support_share,selected_in_topk_support
4,structured,5,15,1.625,4,10,1.1,2.0,6,1,40.55864613186125,124.96810314434906,639.1154341735946,0.8636315869384272,-0.1933785953133782,0,0,0.0,0
4,structured,5,16,1.7,5,10,1.25,2.0,5,1,47.560698411259295,131.9701554237471,638.4873913475778,0.9455691309667186,-0.22577846543517643,0,0,0.0,0
4,structured,5,17,1.775,5,0,1.25,0.5,5,1,75.90094051713237,144.76087889162153,713.6338355181698,1.0324345921558424,2.3108772295842064,0,0,0.0,1
4,structured,5,18,1.85,5,0,1.25,0.5,5,1,80.84264250191481,154.04711278020025,804.7212572762414,1.1239051595471132,2.4767892716536304,0,0,0.0,1
4,structured,5,19,1.925,6,0,1.4,0.5,6,1,89.88980680781424,163.09427708609968,912.2902998661519,1.219564790282203,2.642721115269701,0,0,0.0,1
4,structured,5,20,2.0,5,0,1.25,0.5,5,1,89.13064029848206,169.2568610457474,1086.5290571350395,1.3192589892104447,2.8089281560961554,0,0,0.0,1
4,structured,6,0,0.5,1,10,0.65,2.0,9,1,6.867493930264757,28.18440326732169,128.98296337030396,0.4304849754183021,0.939008594909512,2,0,0.0,0
4,structured,6,1,0.575,1,10,0.65,2.0,9,1,9.703662779447583,34.63477684160214,155.57021193099288,0.39603684822398566,0.8604734659717462,0,0,0.0,0
4,structured,6,2,0.65,1,10,0.65,2.0,9,1,12.964432624975828,37.895546687130384,155.6154535126052,0.36880578486471993,0.7821100193347357,28,0,0.0,0
4,structured,6,3,0.725,2,10,0.8,2.0,8,1,12.496308194468753,40.65251049389748,186.40022564084802,0.3510418228806512,0.7050575443850197,0,0,0.0,0
4,structured,6,4,0.8,2,10,0.8,2.0,8,1,19.5765232022559,47.732725501684634,186.4435403806157,0.34442458331681414,0.6296973510732146,0,0,0.0,0
4,structured,6,5,0.875,2,10,0.8,2.0,8,1,23.60483311055644,51.76103540998517,186.48074608229712,0.3496503683059481,0.5546552935128568,2,0,0.0,0
4,structured,6,6,0.95,2,10,0.8,2.0,8,1,26.987642726219335,57.968563983129584,222.04261546370049,0.36680224963257024,0.4798198153685473,8,0,0.0,0
4,structured,6,7,1.025,2,10,0.8,2.0,8,1,30.29712168759488,61.27804294450513,222.0530390324355,0.3950383767460356,0.40523606615632435,28,0,0.0,0
4,structured,6,8,1.1,3,10,0.95,2.0,7,1,34.53774968116652,68.85993837448918,263.0868692246021,0.4329307927355225,0.3322083682759018,21,0,0.0,0
4,structured,6,9,1.175,3,10,0.95,2.0,7,1,38.88228158496278,73.20447027828544,263.0437616766819,0.47869777920100287,0.25945771255820627,3,0,0.0,0
4,structured,6,10,1.25,3,10,0.95,2.0,7,1,41.70409265324773,80.12622074726534,310.0959359914321,0.5309214105221522,0.18738225776235634,4,0,0.0,0
4,structured,6,11,1.325,3,10,0.95,2.0,7,1,41.26430643239826,83.28391889047516,366.36254981443284,0.5884748734563626,0.11552458139728483,4,0,0.0,0
4,structured,6,12,1.4,4,10,1.1,2.0,6,1,47.05294335639093,89.07255581446783,366.1289748373935,0.6504778568470827,0.04387117258446083,0,0,0.0,0
4,structured,6,13,1.475,4,10,1.1,2.0,6,1,52.01755109857881,97.14383387342713,433.6590942593365,0.7162154841230158,-0.0266097855196894,0,0,0.0,0
4,structured,6,14,1.55,4,10,1.1,2.0,6,1,55.4685319654605,100.59481474030882,433.1882472968761,0.7853787671847247,-0.09493579219624038,0,0,0.0,0
