expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.25,400,2,0.1130952380952381,0.05805528792223184,0.22371294275540832,0.07500544054287112,-1.895493762802747,0.067533242619072,0.00675608918286572,-2.7327955935737185,0.17854581626738902,-1.5319460198590231,0.22371294275540832
0.25,400,3,0.1130952380952381,0.0455426852680225,0.20141018104973243,0.056294329631403975,-1.8591509291385009,-0.010296698647982182,-0.006594698023904546,-3.4485574625389925,0.1770710674774719,-2.4604341473873914,0.20141018104973046
0.25,400,4,0.1130952380952381,0.05417360177240512,0.22476659356161752,0.07162013741561299,-1.9841215883166938,0.03441483283989548,0.015409354508906231,-2.8722311765295374,0.19137453113849717,-0.5147676038682638,0.22476659356161652
0.25,1600,0,0.1130952380952381,0.05562167202755014,0.22410566347966124,0.07158261690589285,-1.9242678103487678,0.006791804686679028,0.006791804686679028,-1.4373654102527873,0.2154876476647227,0.9247202708171226,0.22410566347966124
0.25,1600,1,0.1130952380952381,0.053969571243151625,0.21985204590215915,0.06586407099434229,-1.927640236939574,0.04813231300505266,0.04813231300505266,-1.6619767789150237,0.21454211597216755,0.4930953962340828,0.21985204590215915
0.25,1600,2,0.1130952380952381,0.05092648886246846,0.21543361055700677,0.06343659634229089,-1.92158999120135,0.012486303416838535,0.012486303416838535,-1.356678905264699,0.2065133525310729,0.928414302386745,0.21543361055700677
0.25,1600,3,0.1130952380952381,0.05299901900460082,0.2220391312214594,0.06658446558567695,-1.9397961786803326,0.004795073256962452,0.004795073256962452,-1.2107462857345663,0.21837562534520844,0.7889475617486157,0.21017698415760686
0.25,1600,4,0.1130952380952381,0.056141588622375706,0.22707004950002913,0.06614638848037276,-1.9389327067847957,-0.03980773340633595,-0.0061135406436762935,-2.6284871232095472,0.223416706019956,0.9230205822701795,0.22707004950002913
0.5,100,0,0.1488095238095238,-0.08544233900741321,0.1835181741434829,-0.07313912606444552,-2.0417855994643945,-0.11100491876528974,-0.08846286179182555,-3.692253874664738,-0.057781152561958773,0.9856098691884235,0.18263035779114092
0.5,100,1,0.13095238095238096,-0.08699615728316602,0.060444784159679917,-0.09838299329515786,-2.004985253758338,0.03237984585968474,0.007714419309082211,-4.387417412192733,-0.28663555567440896,0.8310107750865227,0.05647015249759109
