seed,arm,mask,nv,off_support,v_beh,v_opt
19,empirical,top3,0.1479,0.0,67.02,80.92
19,oracle,none,0.1745,0.6528,67.02,80.92
19,oracle,top3,0.1177,0.0,67.02,80.92
19,QDT,none,0.6014,0.4722,67.02,80.92
19,QDT,top3,0.417,0.0,67.02,80.92
19,BC,none,0.3248,0.0834,67.02,80.92
19,BC,top3,0.3322,0.0,67.02,80.92
19,random,none,-5.2724,0.7913,67.02,80.92
19,random,top3,-1.2222,0.0,67.02,80.92
20,vanilla,none,0.605,0.4025,66.23,80.92
20,vanilla,top3,0.658,0.0,66.23,80.92
20,structured,none,0.3857,0.6147,66.23,80.92
20,structured,top3,0.5612,0.0,66.23,80.92
20,empirical,none,0.1298,0.625,66.23,80.92
20,empirical,top3,0.4424,0.0,66.23,80.92
20,oracle,none,0.4685,0.6125,66.23,80.92
20,oracle,top3,0.5633,0.0,66.23,80.92
20,QDT,none,0.667,0.4103,66.23,80.92
20,QDT,top3,0.7036,0.0,66.23,80.92
20,BC,none,0.7033,0.0059,66.23,80.92
20,BC,top3,0.7077,0.0,66.23,80.92
20,random,none,-4.4722,0.7931,66.23,80.92
20,random,top3,-0.6235,0.0,66.23,80.92
21,vanilla,none,0.4522,0.4338,70.52,80.92
21,vanilla,top3,0.47,0.0,70.52,80.92
21,structured,none,0.1177,0.6569,70.52,80.92
21,structured,top3,0.2754,0.0,70.52,80.92
21,empirical,none,-0.1158,0.6741,70.52,80.92
21,empirical,top3,0.2111,0.0,70.52,80.92
21,oracle,none,0.1839,0.6453,70.52,80.92
21,oracle,top3,0.1491,0.0,70.52,80.92
21,QDT,none,0.7653,0.5447,70.52,80.92
21,QDT,top3,0.5465,0.0,70.52,80.92
21,BC,none,0.4432,0.1234,70.52,80.92
21,BC,top3,0.4825,0.0,70.52,80.92
21,random,none,-6.6974,0.7909,70.52,80.92
21,random,top3,-1.7695,0.0,70.52,80.92
22,vanilla,none,0.3707,0.3453,71.07,80.92
22,vanilla,top3,0.2923,0.0,71.07,80.92
22,structured,none,0.3682,0.5737,71.07,80.92
22,structured,top3,0.2824,0.0,71.07,80.92
22,empirical,none,0.1989,0.5934,71.07,80.92
22,empirical,top3,0.2939,0.0,71.07,80.92
22,oracle,none,0.3796,0.5778,71.07,80.92
22,oracle,top3,0.2704,0.0,71.07,80.92
22,QDT,none,0.3602,0.3925,71.07,80.92
22,QDT,top3,0.2638,0.0,71.07,80.92
22,BC,none,0.2799,0.0178,71.07,80.92
22,BC,top3,0.2874,0.0,71.07,80.92
22,random,none,-7.3058,0.7847,71.07,80.92
22,random,top3,-2.6529,0.0,71.07,80.92
23,vanilla,none,0.4604,0.5437,71.29,80.92
23,vanilla,top3,0.2876,0.0,71.29,80.92
23,structured,none,0.1405,0.6422,71.29,80.92
23,structured,top3,0.0427,0.0,71.29,80.92
23,empirical,none,-0.1086,0.6941,71.29,80.92
23,empirical,top3,-0.0647,0.0,71.29,80.92
23,oracle,none,0.1047,0.625,71.29,80.92
23,oracle,top3,-0.0635,0.0,71.29,80.92
23,QDT,none,0.4187,0.5644,71.29,80.92
23,QDT,top3,0.2624,0.0,71.29,80.92
23,BC,none,0.2253,0.05,71.29,80.92
23,BC,top3,0.2098,0.0,71.29,80.92
23,random,none,-7.1237,0.8128,71.29,80.92
23,random,top3,-2.7659,0.0,71.29,80.92
24,vanilla,none,0.5913,0.3828,72.58,80.92
24,vanilla,top3,0.6183,0.0,72.58,80.92
24,structured,none,0.1771,0.6622,72.58,80.92
24,structured,top3,0.4904,0.0,72.58,80.92
24,empirical,none,-0.0427,0.6809,72.58,80.92
24,empirical,top3,0.2931,0.0,72.58,80.92
24,oracle,none,0.5253,0.6984,72.58,80.92
24,oracle,top3,0.5874,0.0,72.58,80.92
24,QDT,none,0.8261,0.4934,72.58,80.92
24,QDT,top3,0.7499,0.0,72.58,80.92
24,BC,none,0.594,0.0,72.58,80.92
24,BC,top3,0.594,0.0,72.58,80.92
24,random,none,-8.8059,0.7959,72.58,80.92
24,random,top3,-1.0956,0.0,72.58,80.92
25,vanilla,none,0.5447,0.4012,63.07,80.92
25,vanilla,top3,0.623,0.0,63.07,80.92
25,structured,none,0.2993,0.6178,63.07,80.92
25,structured,top3,0.4781,0.0,63.07,80.92
25,empirical,none,0.2486,0.6228,63.07,80.92
25,empirical,top3,0.4679,0.0,63.07,80.92
25,oracle,none,0.4524,0.6141,63.07,80.92
25,oracle,top3,0.5576,0.0,63.07,80.92
25,QDT,none,0.6436,0.4713,63.07,80.92
25,QDT,top3,0.6414,0.0,63.07,80.92
25,BC,none,0.6265,0.0278,63.07,80.92
25,BC,top3,0.6192,0.0,63.07,80.92
25,random,none,-3.3385,0.7869,63.07,80.92
25,random,top3,-0.4662,0.0,63.07,80.92
26,vanilla,none,0.0748,0.4541,71.04,80.92
26,vanilla,top3,0.1005,0.0,71.04,80.92
26,structured,none,0.1678,0.5472,71.04,80.92
26,structured,top3,0.1583,0.0,71.04,80.92
26,empirical,none,-0.063,0.5847,71.04,80.92
26,empirical,top3,0.0581,0.0,71.04,80.92
26,oracle,none,0.0638,0.5778,71.04,80.92
26,oracle,top3,0.0762,0.0,71.04,80.92
26,QDT,none,0.3877,0.4681,71.04,80.92
26,QDT,top3,0.3159,0.0,71.04,80.92
26,BC,none,0.1545,0.0037,71.04,80.92
26,BC,top3,0.1513,0.0,71.04,80.92
26,random,none,-7.2056,0.7884,71.04,80.92
26,random,top3,-2.7327,0.0,71.04,80.92
