N,noise,seed,v_logger,v_anchor,v_opt,v_low,v_high,nv_logger,nv_low,nv_high
400,0.2,8,447.63192410402894,422.931340639083,479.95114040875427,452.5948883229192,442.66895988513863,0.43319309370995285,0.5202324070526496,0.3461537803672551
400,0.2,9,447.6023399771599,423.45525105741876,479.20761072352025,452.1802081462303,443.02447180808946,0.43311330792735975,0.515224059767947,0.35100255608677244
400,0.5,0,446.0928206020325,421.48917105942843,479.2131268458336,452.4888237020104,439.6968175020545,0.42622944334661433,0.5370327140657059,0.3154261726275219
400,0.5,1,446.2080524124391,422.7909092428097,479.07216495487467,452.0315656156991,440.3845392091791,0.41607357322358907,0.5195452020915218,0.31260194435565636
400,0.5,2,440.9359419695373,417.1824539201058,474.5590275047475,447.7922249430951,434.07965899597946,0.4139927947142126,0.5334890027518616,0.2944965866765636
400,0.5,3,446.9472240273612,423.10474053664757,479.3865548020198,452.92925165513924,440.96519639958314,0.42362677539666416,0.5299138186602736,0.3173397321330547
400,0.5,4,451.33054200732545,427.25459431293825,483.248496641775,456.2616362808692,446.39944773378164,0.42997445602193973,0.5180393000220024,0.3419096120218761
400,0.5,5,445.65360680391484,420.5620190232593,478.5366511066638,452.22320588799414,439.0840077198356,0.4328028808282531,0.5461213935637549,0.3194843680927522
400,0.5,6,445.8185888596687,421.9223253169368,478.38659087731315,450.99338873997533,440.643788979362,0.4232103845781895,0.5148577269982074,0.3315630421581706
400,0.5,7,442.9512163363855,418.644374990045,476.3341035189663,449.35378235600257,436.5486503167685,0.4213374194360252,0.5323201919829141,0.31035464688913633
400,0.5,8,447.63192410402894,422.931340639083,479.95114040875427,452.5948883229192,442.66895988513863,0.43319309370995285,0.5202324070526496,0.3461537803672551
400,0.5,9,447.6023399771599,423.45525105741876,479.20761072352025,452.1802081462303,443.02447180808946,0.43311330792735975,0.515224059767947,0.35100255608677244
1600,0.05,0,445.2795095839107,420.6941057714956,478.158742618527,451.42195545731994,439.13706371050137,0.42783536382315385,0.5347262485556233,0.32094447909068335
1600,0.05,1,446.6035423931296,422.2408621751993,479.08172757209076,452.0379750342712,441.169109751988,0.428612056621901,0.5242199014918842,0.33300421175191774
1600,0.05,2,444.73513914633327,420.7019605669336,477.9242309914933,451.27828097299977,438.19199731966677,0.4199969417691029,0.5343430132919518,0.30565087024625404
1600,0.05,3,444.5594085410154,420.1985074854882,477.65883098140347,450.2110759056612,438.9077411763696,0.4239603882017639,0.5223181248241057,0.32560265157942214
1600,0.05,4,447.02023780841,422.8141069914742,479.6367344894461,452.55771628574365,441.48275933107635,0.4259945708740723,0.5234465670446347,0.3285425747035099
1600,0.05,5,444.5363661206284,420.42955294452105,477.5980827412801,450.432447444541,438.64028479671566,0.4216797818976615,0.5248148694165101,0.31854469437881183
1600,0.05,6,444.2766413029127,420.4015625942231,477.26680319791535,449.9773447495799,438.57593785624556,0.41985364794428404,0.5201029986222632,0.31960429726630585
1600,0.05,7,446.36887799885363,422.5603637349696,478.8785864087379,451.903766865419,440.83398913228825,0.4227497448170269,0.5210285718785101,0.32447091775554354
1600,0.05,8,445.52424942669785,421.64695137411786,478.1010548050897,451.10983532116165,439.93866353223405,0.42295062008690826,0.5218909194629044,0.32401032071091207
1600,0.05,9,445.21152215891254,421.14554862217454,477.7638570902434,450.59012930776623,439.83291501005885,0.42505638525584954,0.520054051106059,0.3300587194056401
1600,0.2,0,445.2795095839107,420.6941057714956,478.158742618527,451.42195545731994,439.13706371050137,0.42783536382315385,0.5347262485556233,0.32094447909068335
1600,0.2,1,446.6035423931296,422.2408621751993,479.08172757209076,452.0379750342712,441.169109751988,0.428612056621901,0.5242199014918842,0.33300421175191774
1600,0.2,2,444.73513914633327,420.7019605669336,477.9242309914933,451.27828097299977,438.19199731966677,0.4199969417691029,0.5343430132919518,0.30565087024625404
1600,0.2,3,444.5594085410154,420.1985074854882,477.65883098140347,450.2110759056612,438.9077411763696,0.4239603882017639,0.5223181248241057,0.32560265157942214
1600,0.2,4,447.02023780841,422.8141069914742,479.6367344894461,452.55771628574365,441.48275933107635,0.4259945708740723,0.5234465670446347,0.3285425747035099
1600,0.2,5,444.5363661206284,420.42955294452105,477.5980827412801,450.432447444541,438.64028479671566,0.4216797818976615,0.5248148694165101,0.31854469437881183
1600,0.2,6,444.2766413029127,420.4015625942231,477.26680319791535,449.9773447495799,438.57593785624556,0.41985364794428404,0.5201029986222632,0.31960429726630585
1600,0.2,7,446.36887799885363,422.5603637349696,478.8785864087379,451.903766865419,440.83398913228825,0.4227497448170269,0.5210285718785101,0.32447091775554354
