policy,qhat,clip,estimator,value,ci95_low,ci95_high,n_train_episodes,n_test_episodes,target_q95,step_ess,step_ess_frac,terminal_ess,terminal_ess_frac,max_step_weight,p95_step_weight,mean_pb_at_target_argmax,target_argmax_pb_lt_0.01,mean_target_prob_on_logged_action
iql,weak_action_only,1.0,IPS,0.2689776009890417,0.24847433813077666,0.29099297993513795,1680,541,,3815.2802961823636,0.8815342643674593,445.6792002465751,0.8238062851138171,1.0,1.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,1.0,SNIPS,0.3569926179884871,0.33066105656168476,0.3860797079940327,1680,541,,3815.2802961823636,0.8815342643674593,445.6792002465751,0.8238062851138171,1.0,1.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,1.0,DR,0.3411516359906761,0.3213898293738665,0.3630715762131021,1680,541,,3815.2802961823636,0.8815342643674593,445.6792002465751,0.8238062851138171,1.0,1.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,3.0,DM,0.21451355903988045,0.2093381743803135,0.2193921895656156,1680,541,,3475.777369028139,0.8030908893318252,404.8312706339768,0.7483017941478315,3.0,3.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,3.0,IPS,0.6279687202808794,0.5728122111812866,0.6866603879702644,1680,541,,3475.777369028139,0.8030908893318252,404.8312706339768,0.7483017941478315,3.0,3.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,3.0,SNIPS,0.36246566934496044,0.3316406059815157,0.39525136044509984,1680,541,,3475.777369028139,0.8030908893318252,404.8312706339768,0.7483017941478315,3.0,3.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,3.0,DR,0.47388214002437046,0.4280257132201579,0.5269817944772242,1680,541,,3475.777369028139,0.8030908893318252,404.8312706339768,0.7483017941478315,3.0,3.0,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,10.0,DM,0.21451355903988045,0.2095796250593645,0.21964060002093574,1680,541,,2374.4705535821613,0.5486299800328469,278.2417185560406,0.5143100158152322,10.0,7.814803760509447,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,10.0,IPS,0.8752258672114633,0.7717876587276252,0.9727610432860252,1680,541,,2374.4705535821613,0.5486299800328469,278.2417185560406,0.5143100158152322,10.0,7.814803760509447,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,10.0,SNIPS,0.36757539258312355,0.332102656334583,0.40835539832524637,1680,541,,2374.4705535821613,0.5486299800328469,278.2417185560406,0.5143100158152322,10.0,7.814803760509447,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,10.0,DR,0.4770190621494681,0.3976314115135761,0.5550731537487521,1680,541,,2374.4705535821613,0.5486299800328469,278.2417185560406,0.5143100158152322,10.0,7.814803760509447,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,30.0,DM,0.21451355903988045,0.20973760794615606,0.21952140383582847,1680,541,,1331.5295391325053,0.30765469942987644,157.9638403180048,0.2919849174085116,30.0,8.958468318764947,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,30.0,IPS,1.0231070687701282,0.8732813827145774,1.1841497017064841,1680,541,,1331.5295391325053,0.30765469942987644,157.9638403180048,0.2919849174085116,30.0,8.958468318764947,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,30.0,SNIPS,0.3567410042799549,0.3141947609134282,0.40360137144877095,1680,541,,1331.5295391325053,0.30765469942987644,157.9638403180048,0.2919849174085116,30.0,8.958468318764947,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql,weak_action_only,30.0,DR,0.4687568334427138,0.3284303599472443,0.6086714122680359,1680,541,,1331.5295391325053,0.30765469942987644,157.9638403180048,0.2919849174085116,30.0,8.958468318764947,0.2861311489688286,0.013170055452865065,0.27905009131191694
iql_support_top3,weak_action_only,1.0,DM,0.21481705181278624,0.20914797264165014,0.22112580740325083,1680,541,,2259.159518728089,0.5219869497985419,164.12756692676527,0.30337812740622044,1.0,1.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,1.0,IPS,0.13423765184930997,0.12392099892820602,0.1473513193401694,1680,541,,2259.159518728089,0.5219869497985419,164.12756692676527,0.30337812740622044,1.0,1.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,1.0,SNIPS,0.2646624192793711,0.24322938703624408,0.28706377346384226,1680,541,,2259.159518728089,0.5219869497985419,164.12756692676527,0.30337812740622044,1.0,1.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,1.0,DR,0.28673219600443267,0.27447482762404235,0.2993367263140977,1680,541,,2259.159518728089,0.5219869497985419,164.12756692676527,0.30337812740622044,1.0,1.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,3.0,DM,0.21481705181278624,0.2081411160024941,0.22117131613935723,1680,541,,2239.096587683557,0.5173513372651473,163.41382249408304,0.30205882161568026,3.0,3.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,3.0,IPS,0.395611105065208,0.3637488522770584,0.4355994639230437,1680,541,,2239.096587683557,0.5173513372651473,163.41382249408304,0.30205882161568026,3.0,3.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,3.0,SNIPS,0.2680913634761361,0.24620192182446346,0.2895382114472911,1680,541,,2239.096587683557,0.5173513372651473,163.41382249408304,0.30205882161568026,3.0,3.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,3.0,DR,0.4220807757388182,0.39299992123909727,0.4577514475619172,1680,541,,2239.096587683557,0.5173513372651473,163.41382249408304,0.30205882161568026,3.0,3.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,10.0,DM,0.21481705181278624,0.20891457390224957,0.22214674520000005,1680,541,,1816.760122202414,0.41976897463087204,151.2395854569672,0.2795556108261871,10.0,10.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,10.0,IPS,0.9221104496306726,0.8240198869856697,1.0225756658493663,1680,541,,1816.760122202414,0.41976897463087204,151.2395854569672,0.2795556108261871,10.0,10.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,10.0,SNIPS,0.2924487891485243,0.2659507607642922,0.3199307319129446,1680,541,,1816.760122202414,0.41976897463087204,151.2395854569672,0.2795556108261871,10.0,10.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,10.0,DR,0.5517101220511504,0.45834519216444,0.6369707239345994,1680,541,,1816.760122202414,0.41976897463087204,151.2395854569672,0.2795556108261871,10.0,10.0,0.2837744846734599,0.020794824399260628,0.37558520039027254
