seed,arm,nv,k,ratio,src,keep
7,dyna_greedy_r0.75,-1.146,2.0,0.75,greedy,
7,filtBC_keep0.25,0.669,,,,0.25
7,filtBC_keep0.5,0.636,,,,0.5
8,real_BC,0.485,,,,
8,real_DT,0.457,,,,
8,dyna_bc_k1,0.579,1.0,0.5,bc,
8,dyna_bc_k2,0.408,2.0,0.5,bc,
8,dyna_bc_k4,0.485,4.0,0.5,bc,
8,dyna_bc_k8,0.505,8.0,0.5,bc,
8,dyna_bc_r0.25,0.3,2.0,0.25,bc,
8,dyna_bc_r0.5,0.527,2.0,0.5,bc,
8,dyna_bc_r0.75,0.478,2.0,0.75,bc,
8,dyna_greedy_k1,0.45,1.0,0.5,greedy,
8,dyna_greedy_k2,0.362,2.0,0.5,greedy,
8,dyna_greedy_k4,0.561,4.0,0.5,greedy,
8,dyna_greedy_k8,-3.153,8.0,0.5,greedy,
8,dyna_greedy_r0.25,0.147,2.0,0.25,greedy,
8,dyna_greedy_r0.5,0.184,2.0,0.5,greedy,
8,dyna_greedy_r0.75,-1.127,2.0,0.75,greedy,
8,filtBC_keep0.25,0.712,,,,0.25
8,filtBC_keep0.5,0.765,,,,0.5
9,real_BC,0.433,,,,
9,real_DT,0.54,,,,
9,dyna_bc_k1,0.426,1.0,0.5,bc,
9,dyna_bc_k2,0.296,2.0,0.5,bc,
9,dyna_bc_k4,0.225,4.0,0.5,bc,
9,dyna_bc_k8,0.323,8.0,0.5,bc,
9,dyna_bc_r0.25,0.076,2.0,0.25,bc,
9,dyna_bc_r0.5,0.413,2.0,0.5,bc,
9,dyna_bc_r0.75,0.17,2.0,0.75,bc,
9,dyna_greedy_k1,0.414,1.0,0.5,greedy,
9,dyna_greedy_k2,0.495,2.0,0.5,greedy,
9,dyna_greedy_k4,-2.922,4.0,0.5,greedy,
9,dyna_greedy_k8,-4.486,8.0,0.5,greedy,
9,dyna_greedy_r0.25,0.032,2.0,0.25,greedy,
9,dyna_greedy_r0.5,-0.053,2.0,0.5,greedy,
9,dyna_greedy_r0.75,-0.053,2.0,0.75,greedy,
9,filtBC_keep0.25,0.611,,,,0.25
9,filtBC_keep0.5,0.765,,,,0.5
