seed,arm,target_rule,target,nv,is_default
8,vanilla,q1.0,1026.4,0.489,False
8,vanilla,max x1.25,1283.0,0.489,False
8,vanilla,max x1.5,1539.7,0.476,False
8,vanilla,max x2.0,2052.9,0.476,False
9,A_structured,q0.5,349.8,-0.602,False
9,A_structured,q0.75,520.7,-0.038,False
9,A_structured,q0.9,668.3,0.515,False
9,A_structured,q0.95,757.4,0.723,True
9,A_structured,q0.99,961.9,0.365,False
9,A_structured,q1.0,1053.7,-0.448,False
9,A_structured,max x1.25,1317.1,-0.474,False
9,A_structured,max x1.5,1580.6,-0.685,False
9,A_structured,max x2.0,2107.4,-0.752,False
9,QDT_td,q0.5,6338.3,-0.267,False
9,QDT_td,q0.75,7298.9,0.336,False
9,QDT_td,q0.9,7857.2,0.601,False
9,QDT_td,q0.95,8075.7,0.645,True
9,QDT_td,q0.99,8542.7,0.655,False
9,QDT_td,q1.0,8893.7,0.723,False
9,QDT_td,max x1.25,11117.2,-0.077,False
9,QDT_td,max x1.5,13340.6,-0.408,False
9,QDT_td,max x2.0,17787.5,-0.45,False
9,oracle_Qstar,q0.5,262.8,-0.525,False
9,oracle_Qstar,q0.75,364.9,-0.126,False
9,oracle_Qstar,q0.9,448.4,0.199,False
9,oracle_Qstar,q0.95,476.0,0.198,True
9,oracle_Qstar,q0.99,546.7,0.539,False
9,oracle_Qstar,q1.0,568.3,0.544,False
9,oracle_Qstar,max x1.25,710.4,0.615,False
9,oracle_Qstar,max x1.5,852.5,0.592,False
9,oracle_Qstar,max x2.0,1136.7,0.392,False
9,vanilla,q0.5,267.9,-0.078,False
9,vanilla,q0.75,392.8,0.249,False
9,vanilla,q0.9,519.5,0.282,False
9,vanilla,q0.95,596.9,0.54,True
9,vanilla,q0.99,780.6,0.667,False
9,vanilla,q1.0,925.4,0.678,False
9,vanilla,max x1.25,1156.8,0.662,False
9,vanilla,max x1.5,1388.1,0.644,False
9,vanilla,max x2.0,1850.9,0.623,False
