dataset,seed,arm,mask,ret_mean,ret_sd,off_bare_top3,off_bare_bcq_tau,size_top3,size_tau
random,0,IQL,bare,0.01919,0.13434356664909564,0.2498725660108064,0.0,3.0,7.0
random,0,IQL,top3,0.009729999999999999,0.0968122776304741,0.2498725660108064,0.0,3.0,7.0
random,0,IQL,bcq_tau,0.01919,0.13434356664909564,0.2498725660108064,0.0,3.0,7.0
random,0,DT,bare,0.016309999999999998,0.11417177365706464,0.6943400060969414,0.0,3.0,7.0
random,0,DT,top3,0.0,0.0,0.6943400060969414,0.0,3.0,7.0
random,0,DT,bcq_tau,0.016309999999999998,0.11417177365706464,0.6943400060969414,0.0,3.0,7.0
random,0,Q-DT,bare,0.0,0.0,0.4232,0.0,3.0,7.0
random,0,Q-DT,top3,0.0,0.0,0.4232,0.0,3.0,7.0
random,0,Q-DT,bcq_tau,0.0,0.0,0.4232,0.0,3.0,7.0
random,0,random (no learner),bare,0.01325,0.09670267576442752,0.5750886075949367,0.0,3.0,7.0
random,0,random (no learner),top3,0.0,0.0,0.5750886075949367,0.0,3.0,7.0
random,0,random (no learner),bcq_tau,0.01109,0.07856603528242975,0.5750886075949367,0.0,3.0,7.0
random,1,BC,bare,0.0,0.0,0.0,0.0,3.0,7.0
random,1,BC,top3,0.0,0.0,0.0,0.0,3.0,7.0
random,1,BC,bcq_tau,0.0,0.0,0.0,0.0,3.0,7.0
random,1,CQL,bare,0.0,0.0,0.2357,0.0,3.0,7.0
random,1,CQL,top3,0.0,0.0,0.2357,0.0,3.0,7.0
random,1,CQL,bcq_tau,0.0,0.0,0.2357,0.0,3.0,7.0
random,1,IQL,bare,0.00991,0.09860325501726605,0.2822947177052823,0.0,3.0,7.0
random,1,IQL,top3,0.0,0.0,0.2822947177052823,0.0,3.0,7.0
random,1,IQL,bcq_tau,0.00991,0.09860325501726605,0.2822947177052823,0.0,3.0,7.0
random,1,DT,bare,0.02748,0.15648753816198907,0.46576891447368424,0.0,3.0,7.0
random,1,DT,top3,0.0,0.0,0.46576891447368424,0.0,3.0,7.0
random,1,DT,bcq_tau,0.02748,0.15648753816198907,0.46576891447368424,0.0,3.0,7.0
random,1,Q-DT,bare,0.00991,0.09860325501726605,0.3941016058983941,0.0,3.0,7.0
random,1,Q-DT,top3,0.0,0.0,0.3941016058983941,0.0,3.0,7.0
random,1,Q-DT,bcq_tau,0.00991,0.09860325501726605,0.3941016058983941,0.0,3.0,7.0
random,1,random (no learner),bare,0.025599999999999998,0.1311410690821148,0.5723360655737705,0.0,3.0,7.0
random,1,random (no learner),top3,0.0,0.0,0.5723360655737705,0.0,3.0,7.0
random,1,random (no learner),bcq_tau,0.02767,0.1446343703965278,0.5723360655737705,0.0,3.0,6.999589195850878
random,2,BC,bare,0.00991,0.09860325501726605,0.0,0.0,3.0,7.0
random,2,BC,top3,0.00991,0.09860325501726605,0.0,0.0,3.0,7.0
random,2,BC,bcq_tau,0.00991,0.09860325501726605,0.0,0.0,3.0,7.0
random,2,CQL,bare,0.0,0.0,0.2898,0.0,3.0,7.0
random,2,CQL,top3,0.0,0.0,0.2898,0.0,3.0,7.0
random,2,CQL,bcq_tau,0.0,0.0,0.2898,0.0,3.0,7.0
random,2,IQL,bare,0.0,0.0,0.2211,0.0,3.0,7.0
random,2,IQL,top3,0.0,0.0,0.2211,0.0,3.0,7.0
random,2,IQL,bcq_tau,0.0,0.0,0.2211,0.0,3.0,7.0
random,2,DT,bare,0.03838,0.18808528810090383,0.4897067997504679,0.0,3.0,7.0
random,2,DT,top3,0.019100000000000002,0.1337968983198041,0.4897067997504679,0.0,3.0,7.0
random,2,DT,bcq_tau,0.03838,0.18808528810090383,0.4897067997504679,0.0,3.0,7.0
random,2,Q-DT,bare,0.0,0.0,0.4833,0.0,3.0,7.0
random,2,Q-DT,top3,0.0,0.0,0.4833,0.0,3.0,7.0
random,2,Q-DT,bcq_tau,0.0,0.0,0.4833,0.0,3.0,7.0
random,2,random (no learner),bare,0.029109999999999997,0.14811677116383543,0.5675342042999691,0.0,3.0,7.0
random,2,random (no learner),top3,0.018199999999999997,0.12755884916382712,0.5675342042999691,0.0,3.0,7.0
random,2,random (no learner),bcq_tau,0.02408,0.11178324382482376,0.5675342042999691,0.0,3.0,7.0
