cell_id,N,noise,seed,info_mode,provider,model,method,support_mask,value,v_behaviour_myopic,v_optimal,nv,regret,valid_output_rate,off_support_rate,unlogged_action_rate,off_support_rate_statetable,match_optimal_rate,match_myopic_rate,mean_ranking_len,modal_action_share,distinct_actions_used,action_entropy_normalised
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,DP oracle + support top3,top3,477.41953464260155,421.1367484506907,477.84490227066374,0.992499004121831,0.4253676280621903,1.0,0.0,0.0,0.0,0.4523809523809524,0.3392857142857143,1.0,0.4166666666666667,8,0.7251363893728369
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Heuristic proxy (not LLM),none,425.3867180485711,421.1367484506907,477.84490227066374,0.07494459458815136,52.458184222092655,1.0,0.15125,0.15125,0.48214285714285715,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,426.6685931587851,421.1367484506907,477.84490227066374,0.09754937051302931,51.17630911187865,1.0,0.0,0.0,0.0,0.24404761904761904,0.5476190476190477,11.0,0.4226190476190476,7,0.6698970717700463
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Myopic one-step optimizer,none,421.1367484506907,421.1367484506907,477.84490227066374,0.0,56.70815381997306,1.0,0.0925,0.0925,0.42857142857142855,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,423.6031441744794,421.1367484506907,477.84490227066374,0.043492788208527845,54.241758096184356,1.0,0.0,0.0,0.0,0.22023809523809523,0.5714285714285714,1.0,0.4226190476190476,7,0.6639560921490217
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Random policy,none,296.67680840893286,421.1367484506907,477.84490227066374,-2.194745052658054,181.16809386173088,1.0,0.84625,0.89875,0.8511904761904762,0.13690476190476192,0.1130952380952381,11.0,0.11904761904761904,11,0.9876728650288215
N100_noise0.5,100,0.5,1,oracle_info,heuristic,,Random policy + support top3,top3,445.55858635521923,421.1367484506907,477.84490227066374,0.4306583138301179,32.286315915444504,1.0,0.0,0.0,0.0,0.32142857142857145,0.47023809523809523,11.0,0.4166666666666667,8,0.7089894601800877
N100_noise0.5,100,0.5,2,log_only,heuristic,,DP oracle,none,483.61336583743207,428.2572553930546,483.61336583743207,1.0,0.0,1.0,0.0075,0.0075,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,2,log_only,heuristic,,DP oracle + support top3,top3,482.59998661765303,428.2572553930546,483.61336583743207,0.9816934533217015,1.0133792197790399,1.0,0.0,0.0,0.0,0.44642857142857145,0.375,1.0,0.3869047619047619,8,0.7457356902949759
N100_noise0.5,100,0.5,2,log_only,heuristic,,Heuristic proxy (not LLM),none,440.8850015084779,428.2572553930546,483.61336583743207,0.2281183777915866,42.72836432895417,1.0,0.0,0.0,0.26785714285714285,0.3273809523809524,0.5416666666666666,11.0,0.2857142857142857,8,0.7673655452595359
N100_noise0.5,100,0.5,2,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,440.8850015084779,428.2572553930546,483.61336583743207,0.2281183777915866,42.72836432895417,1.0,0.0,0.0,0.0,0.27976190476190477,0.5416666666666666,11.0,0.39285714285714285,8,0.6927454675104651
N100_noise0.5,100,0.5,2,log_only,heuristic,,Myopic one-step optimizer,none,428.2572553930546,428.2572553930546,483.61336583743207,0.0,55.356110444377464,1.0,0.01125,0.01125,0.39880952380952384,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,2,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,429.399870436319,428.2572553930546,483.61336583743207,0.020641172836963102,54.21349540111305,1.0,0.0,0.0,0.0,0.22023809523809523,0.6011904761904762,1.0,0.39285714285714285,7,0.6752900108175754
N100_noise0.5,100,0.5,2,log_only,heuristic,,Random policy,none,362.6229219083389,428.2572553930546,483.61336583743207,-1.18567458872794,120.99044392909315,1.0,0.75375,0.75875,0.875,0.13690476190476192,0.07738095238095238,11.0,0.20238095238095238,11,0.9575618396873682
N100_noise0.5,100,0.5,2,log_only,heuristic,,Random policy + support top3,top3,451.41877342817645,428.2572553930546,483.61336583743207,0.4184094194695062,32.19459240925562,1.0,0.0,0.0,0.0,0.34523809523809523,0.47619047619047616,11.0,0.39285714285714285,8,0.722437540388832
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,DP oracle,none,483.61336583743207,428.2572553930546,483.61336583743207,1.0,0.0,1.0,0.0075,0.0075,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,DP oracle + support top3,top3,482.59998661765303,428.2572553930546,483.61336583743207,0.9816934533217015,1.0133792197790399,1.0,0.0,0.0,0.0,0.44642857142857145,0.375,1.0,0.3869047619047619,8,0.7457356902949759
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Heuristic proxy (not LLM),none,433.9955469142562,428.2572553930546,483.61336583743207,0.10366139302665574,49.61781892317589,1.0,0.06625,0.06625,0.4583333333333333,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,435.0708271663205,428.2572553930546,483.61336583743207,0.12308617275616315,48.54253867111157,1.0,0.0,0.0,0.0,0.25,0.5714285714285714,11.0,0.39285714285714285,7,0.6826555136213928
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Myopic one-step optimizer,none,428.2572553930546,428.2572553930546,483.61336583743207,0.0,55.356110444377464,1.0,0.01125,0.01125,0.39880952380952384,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,429.399870436319,428.2572553930546,483.61336583743207,0.020641172836963102,54.21349540111305,1.0,0.0,0.0,0.0,0.22023809523809523,0.6011904761904762,1.0,0.39285714285714285,7,0.6752900108175754
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Random policy,none,362.6229219083389,428.2572553930546,483.61336583743207,-1.18567458872794,120.99044392909315,1.0,0.75375,0.75875,0.875,0.13690476190476192,0.07738095238095238,11.0,0.20238095238095238,11,0.9575618396873682
N100_noise0.5,100,0.5,2,oracle_info,heuristic,,Random policy + support top3,top3,451.41877342817645,428.2572553930546,483.61336583743207,0.4184094194695062,32.19459240925562,1.0,0.0,0.0,0.0,0.34523809523809523,0.47619047619047616,11.0,0.39285714285714285,8,0.722437540388832
N100_noise0.5,100,0.5,3,log_only,heuristic,,DP oracle,none,483.28279877863395,427.8075954406258,483.28279877863395,1.0,0.0,1.0,0.02625,0.02625,0.5773809523809523,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,3,log_only,heuristic,,DP oracle + support top3,top3,475.482614601531,427.8075954406258,483.28279877863395,0.8593933197580774,7.800184177102949,1.0,0.0,0.0,0.0,0.4226190476190476,0.36904761904761907,1.0,0.4166666666666667,8,0.7290964424455045
N100_noise0.5,100,0.5,3,log_only,heuristic,,Heuristic proxy (not LLM),none,432.6248062048486,427.8075954406258,483.28279877863395,0.08683538724268819,50.65799257378535,1.0,0.0,0.0,0.2857142857142857,0.32142857142857145,0.5178571428571429,11.0,0.32142857142857145,8,0.7588600454486326
N100_noise0.5,100,0.5,3,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,432.6248062048486,427.8075954406258,483.28279877863395,0.08683538724268819,50.65799257378535,1.0,0.0,0.0,0.0,0.27380952380952384,0.5178571428571429,11.0,0.4166666666666667,8,0.6974541326429938
N100_noise0.5,100,0.5,3,log_only,heuristic,,Myopic one-step optimizer,none,427.8075954406258,427.8075954406258,483.28279877863395,0.0,55.47520333800816,1.0,0.03125,0.03125,0.4583333333333333,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,3,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,432.35538117912586,427.8075954406258,483.28279877863395,0.08197871237696226,50.92741759950809,1.0,0.0,0.0,0.0,0.25,0.5416666666666666,1.0,0.4166666666666667,7,0.6860943472249095
N100_noise0.5,100,0.5,3,log_only,heuristic,,Random policy,none,323.05685475634607,427.8075954406258,483.28279877863395,-1.8882443755282468,160.22594402228788,1.0,0.8225,0.925,0.8928571428571429,0.08333333333333333,0.08333333333333333,11.0,0.13095238095238096,11,0.9791818179139785
N100_noise0.5,100,0.5,3,log_only,heuristic,,Random policy + support top3,top3,437.2251144734289,427.8075954406258,483.28279877863395,0.16976087451942362,46.05768430520504,1.0,0.0,0.0,0.0,0.31547619047619047,0.47619047619047616,11.0,0.4166666666666667,8,0.7172643411234232
