cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained,EtO,10,0.41121559236902294,0.08413716793236385,0.4248345797058497,443.84489434661384,0.9337500000000001,0.04040107458095921
N100_noise0p2,100,0.2,Behaviour cloning,BC,10,0.3998738785872625,0.07160665248069686,0.40019720276050647,443.19135939097487,0.177375,0.7595639199608952
N100_noise0p2,100,0.2,Behaviour cloning support top3,BC,10,0.32525929940679277,0.10460246208372094,0.34536344335339975,438.90014080833464,0.0,0.8794633923923655
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained empirical-transition,EtO,10,0.022480582273840453,0.12863384590145477,0.026115993080540884,421.5755572948763,0.7605,0.1712135476418238
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained learned-transition,EtO,10,-0.18923322550362745,0.26120378914644626,-0.12391381388537034,409.41311674585313,0.9,0.09282052448015106
N100_noise0p2,100,0.2,Estimate-then-optimise structured empirical-transition,EtO,10,-3.0798173256858656,0.25327587769630916,-3.1781179493496965,243.67740982692936,0.7698750000000001,0.21095867004591584
N100_noise0p2,100,0.2,Estimate-then-optimise structured,EtO,10,-4.334708314590964,0.20323837688635796,-4.31186806769796,171.66481610731933,0.9178749999999999,0.08099017722407045
N100_noise0p2,100,0.2,Estimate-then-optimise structured learned-transition,EtO,10,-4.569009266167219,0.17963859856743322,-4.581547485361232,158.2096211542331,0.9243750000000001,0.11500319998167516
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9465862765335957,0.05373907685610357,0.9757099408396217,474.59307418573235,0.0,0.7822751111885952
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained support top3,EtO,10,0.8910885123324744,0.10354605736318813,0.9286844199238393,471.4455142095958,0.0,0.7787790056499345
N100_noise0p5,100,0.5,Estimate-then-optimise structured support top3,EtO,10,0.8810340896795837,0.055208537376876456,0.8875649339927797,470.8352978001335,0.0,0.7755825430389871
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8562447540269774,0.12143401445863028,0.8737048859451588,469.41937685230425,0.0,0.7740456752712517
N100_noise0p5,100,0.5,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.6774726825006369,0.07495045684319614,0.6736053998610981,459.14157872185217,0.0,0.8073311638181477
N100_noise0p5,100,0.5,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.49584743923745583,0.05212779329702115,0.49780584229616853,448.74218807002836,0.0,0.8321637902474157
N100_noise0p5,100,0.5,Behaviour cloning,BC,10,0.3998738785872625,0.07160665248069686,0.40019720276050647,443.19135939097487,0.177375,0.7595639199608952
N100_noise0p5,100,0.5,Behaviour cloning support top3,BC,10,0.32525929940679277,0.10460246208372094,0.34536344335339975,438.90014080833464,0.0,0.8794633923923655
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained,EtO,10,0.243817604728231,0.3738838120918808,0.42484008009456276,434.15210721452223,0.927375,0.05250233829389768
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained empirical-transition,EtO,10,0.01924510499022996,0.19568206763221524,0.007832090463715325,421.4092434908772,0.738875,0.18872151723679503
N100_noise0p5,100,0.5,Estimate-then-optimise unconstrained learned-transition,EtO,10,-0.32006454114140287,0.5435348471047321,-0.1926565637686189,401.87501082054644,0.90525,0.0880979688679617
N100_noise0p5,100,0.5,Estimate-then-optimise structured empirical-transition,EtO,10,-3.0775684431666535,0.2419605365518979,-3.1666737357744195,243.81177023144693,0.7693749999999999,0.21151401799382671
N100_noise0p5,100,0.5,Estimate-then-optimise structured,EtO,10,-4.3542198139964,0.21286873076276372,-4.337925720764892,170.56338539927123,0.9106249999999999,0.09161714653222897
N100_noise0p5,100,0.5,Estimate-then-optimise structured learned-transition,EtO,10,-4.54762117301135,0.1912889863768463,-4.548752301494636,159.45857542279467,0.94025,0.08717004408612847
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9923986295369257,0.0008027812407195692,0.9923666976218886,477.77399197962416,0.0,0.7668978195852867
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained support top3,EtO,10,0.9906337869607951,0.005424674675462815,0.9924360976532479,477.6736913469401,0.0,0.7650328527938413
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8385271502359881,0.04436286574043048,0.8443396143526208,469.0155106212034,0.0,0.712555047865296
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained,EtO,10,0.7557117314961774,0.1455486498354249,0.7426543597404756,464.32696074063523,0.45180468749999997,0.45293643928194494
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.5755089182756155,0.34869645960109563,0.7077064151178464,454.0680834440638,0.415546875,0.4882846635772136
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured support top3,EtO,10,0.5339237569707952,0.04483695356083053,0.5315687751172404,451.6846970834755,0.0,0.6988227030732361
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.5098882952355355,0.24133691115009048,0.3818835074673335,450.35365831531624,0.0,0.710174564809422
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.5077878566375595,0.07069495614430359,0.47638805093430137,450.1941317628284,0.0,0.72761347453422
N1600_noise0p05,1600,0.05,Behaviour cloning,BC,10,0.4033208581878995,0.09594200916995164,0.3799412995111458,444.23546939395203,0.018890625,0.8273755086970555
N1600_noise0p05,1600,0.05,Behaviour cloning support top3,BC,10,0.3670212715008797,0.10596344612787822,0.37447660970553354,442.1644594991805,0.0,0.8484782130588728
N1600_noise0p05,1600,0.05,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.16474642408054088,0.014902018406786293,-0.17139693473408035,411.9093158622113,0.6080625,0.2805084263101976
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured,EtO,10,-1.9707817028622443,0.26108565221933927,-1.928567661168198,309.0839267732598,0.91253125,0.03612997303760017
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured learned-transition,EtO,10,-1.9991521649155142,0.5251610802298253,-1.866062049578073,307.4286064329219,0.91034375,0.035010923993435514
N1600_noise0p05,1600,0.05,Estimate-then-optimise structured empirical-transition,EtO,10,-2.1357843539914954,0.3587249785845884,-2.102663433967047,299.6411042512852,0.85565625,0.08368415876943683
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9915257728236695,0.0028480853452465768,0.9922297656357411,477.72457230898453,0.0,0.7668748659613747
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained support top3,EtO,10,0.9914107610087995,0.0031806772830894514,0.9923622502725502,477.7180586729493,0.0,0.7670229579933563
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8596226328968412,0.04924495629396748,0.8488158315199099,470.21698786950145,0.0,0.7198363495554279
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained,EtO,10,0.768432622595258,0.21089718696072185,0.7769753943637546,465.0634590948471,0.3777265625,0.5073461551595974
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.6195468834595763,0.3482552241709007,0.7711702142693508,456.57959916204027,0.4126796875,0.49737426915524335
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured support top3,EtO,10,0.5457089904405211,0.07612371123322247,0.5384948238442976,452.35573258960795,0.0,0.6875956396730786
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.541183894880916,0.1931758892411365,0.5604010431572408,452.11312264718,0.0,0.6675786708404247
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.4811537622774935,0.031059223896037866,0.4640021577359343,448.67576315859,0.0,0.7115285704432491
